Nome da Microzona,Carreira,Sentido,Interface,Codigo de Paragem (SIP),Paragens  - Nome,Localização,Destino
Qta. Barros,768,A,-,13612,R. Soeiros,R. Soeiros,Qta. Alcoutins
Qta. Barros,768,A,-,13606,Estr. Luz / R. Soeiros,Estrada Luz,Qta. Alcoutins
Largo da Luz,768,A,-,13608,Colégio Militar,Estrada Luz,Qta. Alcoutins
Largo da Luz,768,A,-,12804,Lg. Luz,Estrada Luz,Qta. Alcoutins
Carnide,768,A,-,12816,Carnide,R. Maria Brown,Qta. Alcoutins
Carnide,768,A,-,12814,Carnide (Metro),Lg. Malvar,Qta. Alcoutins
Carnide,768,A,-,12812,Estação Pontinha,Estrada Correia,Qta. Alcoutins
Pontinha,768,A,Metro; Autocarro,13904,Pontinha (Metro),Interface Pontinha,Qta. Alcoutins
Pontinha,768,A,-,13906,Pontinha,Estrada Circunvalação,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14110,Mal Penteada,Estrada Circunvalação,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14102,Estr. Militar (Escorpiões),Estrada Circunvalação,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14113,Serra Luz,Estrada Circunvalação,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14114,R. Rio Minho,R. Rio Vouga,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14115,Cemitério Carnide,R. Rio Zêzere,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14119,Vale Forno,Estrada Circunvalação,Qta. Alcoutins
Bº Padre Cruz,768,A,-,14117,Qta. Olival (C. Triagem),Estrada Circunvalação,Qta. Alcoutins
Calçada de Carriche,768,A,-,07201,Qta. Alcoutins,R. Principal (Qta. Alcoutins),Qta. Alcoutins
Calçada de Carriche,768,D,-,07201,Qta. Alcoutins,R. Principal (Qta. Alcoutins),Cidade Universitária
Bº Padre Cruz,768,D,-,14109,Qta. Olival (C. Triagem),Estrada Circunvalação,Cidade Universitária
Bº Padre Cruz,768,D,-,14118,Vale Forno,Estrada Circunvalação,Cidade Universitária
Bº Padre Cruz,768,D,-,14116,Cemitério Carnide,R. Rio Zêzere,Cidade Universitária
Bº Padre Cruz,768,D,-,14105,R. Rio Tejo,R. Rio Tejo,Cidade Universitária
Bº Padre Cruz,768,D,-,14103,Serra Luz,Estrada Circunvalação,Cidade Universitária
Bº Padre Cruz,768,D,-,14101,Estr. Militar (Escorpiões),Estrada Circunvalação,Cidade Universitária
Bº Padre Cruz,768,D,-,14111,Mal Penteada,Estrada Circunvalação,Cidade Universitária
Pontinha,768,D,Autocarro,13909,Pontinha,R. St. André,Cidade Universitária
Pontinha,768,D,Metro; Autocarro,13907,Pontinha (Metro),Interface Pontinha,Cidade Universitária
Carnide,768,D,-,12813,Estação Pontinha,Estrada Correia,Cidade Universitária
Carnide,768,D,Metro,12817,Carnide (Metro),Lg. Malvar,Cidade Universitária
Carnide,768,D,-,12819,Carnide,R. Maria Brown,Cidade Universitária
Largo da Luz,768,D,-,12803,Lg. Luz,Estrada Luz,Cidade Universitária
Largo da Luz,768,D,-,13607,Colégio Militar,Estrada Luz,Cidade Universitária
Qta. Barros,768,D,-,13605,Estr. Luz / R. Soeiros,Estrada Luz,Cidade Universitária
Qta. Barros,768,D,-,13611,R. Soeiros,R. João Freitas Branco,Cidade Universitária
Qta. Barros,768,D,-,13613,R. João Freitas Branco,R. João Freitas Branco,Cidade Universitária
Benfica,768,D,Metro,10709,Alto Moinhos (Metro),R. João Freitas Branco,Cidade Universitária
Benfica,768,D,-,10701,S. Domingos Benfica,Estrada Benfica,Cidade Universitária
Benfica,768,D,-,10703,B.º Novo,Estrada Benfica,Cidade Universitária
Benfica,768,D,-,10705,R. Duarte Galvão,Estrada Benfica,Cidade Universitária
Sete Rios,768,D,-,01615,Estr. Benfica (Furnas),Estrada Benfica,Cidade Universitária
Sete Rios,768,D,Metro; Autocarro; Comboio,01603,Sete Rios,Pç. General Humberto Delgado,Cidade Universitária
Laranjeiras,768,D,-,12703,Cç. Palma Baixo,Cç. Palma Baixo,Cidade Universitária
Laranjeiras,768,D,-,12705,Universidade Católica,R. Azevedo Neves,Cidade Universitária
Cidade Universitária,768,D,Metro,13506,Hosp. Sta. Maria,Av. Prof. Egas Moniz,Cidade Universitária
Cidade Universitária,768,D,Metro,13510,Cantina Universidade,Av. Prof. Gama Pinto,Cidade Universitária
Cidade Universitária,768,D,-,13504,Cidade Universitária,Av. Prof. Gama Pinto,Cidade Universitária
Sete Rios,770,C,Metro,01614,Sete Rios,Pç. General Humberto Delgado,Sete Rios circ. Serafina
Sete Rios,770,C,Metro,01606,Sete Rios,Pç. General Humberto Delgado,Sete Rios circ. Serafina
Sete Rios,770,C,Metro; Autocarro; Comboio,01618,Centro Saúde Sete Rios,R. Prof. Gentil Martins,Sete Rios circ. Serafina
Sete Rios,770,C,-,10718,R. Francisco Gentil Martins,R. Francisco Gentil Martins,Sete Rios circ. Serafina
Sete Rios,770,C,-,10714,B.º Furnas,R. Francisco Gentil Martins,Sete Rios circ. Serafina
Benfica,770,C,-,10711,R. Conde Almoster / Tv. S. Domingos,R. Conde Almoster,Sete Rios circ. Serafina
Benfica,770,C,-,10717,R. Sousa Loureiro,R. Conde Almoster,Sete Rios circ. Serafina
B.º Calhau,770,C,-,10719,Tv. S. Domingos Benfica,Travessa S. Domingos,Sete Rios circ. Serafina
B.º Calhau,770,C,-,10721,Palácio Marquês Fronteira,Av. 24 Janeiro,Sete Rios circ. Serafina
B.º Calhau,770,C,-,10723,B.º Calhau,R. Sítio do Calhau,Sete Rios circ. Serafina
B.º Calhau,770,C,-,10722,Palácio Marquês Fronteira,Av. 24 Janeiro,Sete Rios circ. Serafina
B.º Calhau,770,C,-,10726,Pq. Recreativo Alto Serafina,Estrada Serafina,Sete Rios circ. Serafina
Serafina,770,C,-,02723,Serafina - R. Igreja,Lg. S. Vicente Paulo,Sete Rios circ. Serafina
Serafina,770,C,-,02709,Serafina,R. Arcos,Sete Rios circ. Serafina
Serafina,770,C,-,02720,R. C (B.º Liberdade),Continuação da R. Dr. Inácio Pardelha Sanchez,Sete Rios circ. Serafina
Sete Rios,770,C,-,02713,Av. José Malhoa,R. Campolide,Sete Rios circ. Serafina
Sete Rios,770,C,Metro; Autocarro; Comboio,01621,Estação Sete Rios,Av. Columbano Bordalo Pinheiro,Sete Rios circ. Serafina
Sete Rios,770,C,Metro,01614,Sete Rios,Pç. General Humberto Delgado,Sete Rios circ. Serafina
Rato,773,A,Metro,06825,Rato,R. Alexandre Herculano,Alcântara
Rato,773,A,-,06814,R. Rodrigo Fonseca,R. Rodrigo Fonseca,Alcântara
Rato,773,A,-,10612,R. Nova S. Mamede,R. Nova S. Mamede,Alcântara
Príncipe Real,773,A,-,10608,R. Escola Politécnica,R. Escola Politécnica,Alcântara
Príncipe Real,773,A,-,10606,Príncipe Real,R. Escola Politécnica,Alcântara
Príncipe Real,773,A,-,06716,R. Palmeira,R. Palmeira,Alcântara
S. Bento,773,A,-,06714,Pç. Flores,R. Piedade,Alcântara
S. Bento,773,A,-,06704,Palácio S. Bento (Jardim),R. S. Bento,Alcântara
S. Bento,773,A,-,06720,Cç. Estrela / R. Borges Carneiro,Cç. Estrela,Alcântara
S. Bento,773,A,-,06707,R. Borges Carneiro / Cç. Estrela,R. Borges Carneiro,Alcântara
Lapa,773,A,-,10003,Lapa,R. Borges Carneiro,Alcântara
Lapa,773,A,-,10001,R. Santana à Lapa / R. Buenos Aires,R. Santana à Lapa,Alcântara
Lapa,773,A,-,10014,R. Santana à Lapa,R. Buenos Aires,Alcântara
Lapa,773,A,-,10012,R. Buenos Aires,R. Navegantes,Alcântara
Estrela,773,A,-,08112,Estrela (Basílica),Pç. Estrela,Alcântara
Estrela,773,A,-,08102,Estrela,Av. Infante Santo,Alcântara
Infante Santo,773,A,-,10109,Av. Inf. Santo / R. Santana à Lapa,Av. Infante Santo,Alcântara
Infante Santo,773,A,-,10111,R. Santana à Lapa / R. Possolo,R. Possidónio Silva,Alcântara
Infante Santo,773,A,-,10107,Esc. Josefa Óbidos,R. Possidónio Silva,Alcântara
Infante Santo,773,A,-,10105,Fonte Santa,R. Possidónio Silva,Alcântara
Infante Santo,773,A,-,09421,R. Possidónio Silva,R. Possidónio Silva,Alcântara
Infante Santo,773,A,-,09407,R. Capitão Afonso Pala,R. Capitão Afonso Pala,Alcântara
Alcântara,773,A,-,09419,Lg. Necessidades,R. Capitão Afonso Pala,Alcântara
Alcântara,773,A,-,09413,Cç. Livramento,Cç. Livramento,Alcântara
Alcântara,773,A,Autocarro; Comboio,09417,Alcântara,R. Prior Crato,Alcântara
Alcântara,773,D,Autocarro; Comboio,09418,Alcântara,R. Prior Crato,Rato
Alcântara,773,D,-,10207,Pç. Armada,Pç. Armada,Rato
Alcântara,773,D,-,09426,R. Necessidades,R. Necessidades,Rato
Alcântara,773,D,-,09420,Lg. Necessidades,R. Capitão Afonso Pala,Rato
Infante Santo,773,D,-,09408,R. Capitão Afonso Pala,R. Capitão Afonso Pala,Rato
Infante Santo,773,D,-,09422,R. Possidónio Silva,R. Possidónio Silva,Rato
Infante Santo,773,D,-,10106,Fonte Santa,R. Possidónio Silva,Rato
Infante Santo,773,D,-,10108,Esc. Josefa Óbidos,R. Possidónio Silva,Rato
Infante Santo,773,D,-,10103,Av. Inf. Santo / R. Santana à Lapa,Av. Infante Santo,Rato
Estrela,773,D,-,08101,Estrela,Av. Infante Santo,Rato
Estrela,773,D,-,08111,Estrela (Basílica),Pç. Estrela,Rato
Estrela,773,D,-,08113,R. João Deus,R. João Deus,Rato
Lapa,773,D,-,10011,R. Buenos Aires,R. Buenos Aires,Rato
Lapa,773,D,-,10013,R. Santana à Lapa,R. Buenos Aires,Rato
Lapa,773,D,-,10006,R. S. Domingos à Lapa,R. Lapa,Rato
Lapa,773,D,-,10004,Lapa,R. Borges Carneiro,Rato
S. Bento,773,D,-,06708,R. Borges Carneiro / Cç. Estrela,R. Borges Carneiro,Rato
S. Bento,773,D,-,06712,Palácio S. Bento ,R. S. Bento,Rato
S. Bento,773,D,-,06703,Palácio S. Bento (Jardim),R. S. Bento,Rato
S. Bento,773,D,-,06713,Pç. Flores,R. Nova Piedade,Rato
Príncipe Real,773,D,-,06715,R. Palmeira,R. Palmeira,Rato
Príncipe Real,773,D,-,10605,Príncipe Real,Pç. Principe Real,Rato
Príncipe Real,773,D,-,10607,R. Escola Politécnica,R. Escola Politécnica,Rato
Rato,773,D,Metro,06825,Rato,R. Alexandre Herculano,Rato
Campo de Ourique,774,A,-,08028,Campo Ourique (Prazeres),Pç. S. João Bosco,Gomes Freire
Campo de Ourique,774,A,-,08012,Esc. Manuel Maia,R. Sampaio Bruno,Gomes Freire
Campo de Ourique,774,A,-,08005,R. Francisco Metrass,R. Almeida e Sousa,Gomes Freire
Campo de Ourique,774,A,-,08003,R. 4 Infantaria,R. 4 Infantaria,Gomes Freire
Campo de Ourique,774,A,-,08027,R. Campo Ourique,R. Ferreira Borges,Gomes Freire
Amoreiras,774,A,-,08520,Amoreiras (C. Comercial),R. Carlos Alberto Mota Pinto,Gomes Freire
Amoreiras,774,A,-,08516,R. Amoreiras,R. Amoreiras,Gomes Freire
Rato,774,A,-,06823,Jardim Amoreiras,R. Amoreiras,Gomes Freire
Rato,774,A,Metro,06811,Rato,R. Alexandre Herculano,Gomes Freire
Marquês Pombal,774,A,Metro,01216,Mq. Pombal - R. Alexandre Herculano,R. Alexandre Herculano,Gomes Freire
Marquês Pombal,774,A,-,01218,R. Sta. Marta,R. Conde Redondo,Gomes Freire
Conde Redondo,774,A,-,06609,R. Conde Redondo,R. Conde Redondo,Gomes Freire
Gomes Freire,774,A,-,06611,Gomes Freire - R. Joaquim Bonifácio,R. Gomes Freire,Gomes Freire
Gomes Freire,774,A,-,06907,Gomes Freire,R. Gomes Freire,Gomes Freire
Gomes Freire,774,D,-,06907,Gomes Freire,R. Gomes Freire,Campo Ourique
Gomes Freire,774,D,-,06608,Gomes Freire - R. Joaquim Bonifácio,R. Conde Redondo,Campo Ourique
Conde Redondo,774,D,-,06610,R. Conde Redondo,R. Conde Redondo,Campo Ourique
Marquês Pombal,774,D,-,01217,R. Sta. Marta,R. Conde Redondo,Campo Ourique
Marquês Pombal,774,D,Metro,01211,Mq. Pombal - R. Alexandre Herculano,R. Alexandre Herculano,Campo Ourique
Rato,774,D,-,06820,R. Braamcamp,R. Alexandre Herculano,Campo Ourique
Rato,774,D,Metro,06812,Rato,Lg. Rato,Campo Ourique
Rato,774,D,-,06824,Jardim Amoreiras,R. Amoreiras,Campo Ourique
Amoreiras,774,D,-,08517,R. Amoreiras,R. Silva Carvalho,Campo Ourique
Amoreiras,774,D,-,08519,R. D. João V,R. Silva Carvalho,Campo Ourique
Campo de Ourique,774,D,-,08025,R. Campo Ourique,R. Ferreira Borges,Campo Ourique
Campo de Ourique,774,D,-,08006,R. 4 Infantaria,R. Pereira Sousa,Campo Ourique
Campo de Ourique,774,D,-,08008,R. Francisco Metrass,R. Infantaria 16,Campo Ourique
Campo de Ourique,774,D,-,08009,R. Sampaio Bruno,R. Infantaria 16,Campo Ourique
Campo de Ourique,774,D,-,08013,Esc. Manuel Maia,R. Sampaio Bruno,Campo Ourique
Campo de Ourique,774,D,-,08028,Campo Ourique (Prazeres),Pç. S. João Bosco,Campo Ourique
Algés,776,A,Autocarro; Comboio,04220,Algés,Interface Algés,Cruz Quebrada
Algés,776,A,Autocarro; Comboio,04218,Algés - Pç. D. Manuel I,R. Damião Góis,Cruz Quebrada
Algés,776,A,-,04212,Algés (Jardim),Al. Hermano Patrone,Cruz Quebrada
Dafundo,776,A,-,14908,Aquário Vasco Gama,Al. Hermano Patrone,Cruz Quebrada
Dafundo,776,A,-,14906,Dafundo,R. Direita Dafundo,Cruz Quebrada
Dafundo,776,A,-,14904,Dafundo - R. 1º Maio,R. Sacadura Cabral,Cruz Quebrada
Cruz Quebrada,776,A,-,14902,R. Bombeiros Voluntários Dafundo,R. Sacadura Cabral,Cruz Quebrada
Cruz Quebrada,776,A,-,04302,Igreja Cruz Quebrada,R. Sacadura Cabral,Cruz Quebrada
Cruz Quebrada,776,A,-,04304,Cruz Quebrada,R. Sacadura Cabral,Cruz Quebrada
Cruz Quebrada,776,A,-,04305,Estr. Costa,Estrada Costa,Cruz Quebrada
Cruz Quebrada,776,A,-,04301,Cruz Quebrada (Fac. Motricidade Humana),Estrada Costa - Fac. Motricidade Humana,Cruz Quebrada
Cruz Quebrada,776,D,-,04301,Cruz Quebrada (Fac. Motricidade Humana),Estrada Costa - Fac. Motricidade Humana,Algés
Cruz Quebrada,776,D,-,04307,Cruz Quebrada,R. Sacadura Cabral,Algés
Cruz Quebrada,776,D,-,04303,Igreja Cruz Quebrada,R. Sacadura Cabral,Algés
Cruz Quebrada,776,D,-,14901,R. Bombeiros Voluntários Dafundo,R. Sacadura Cabral,Algés
Dafundo,776,D,-,14903,Dafundo - R. 1º Maio,R. Sacadura Cabral,Algés
Dafundo,776,D,-,14905,Dafundo,R. Direita Dafundo,Algés
Dafundo,776,D,-,14907,Aquário Vasco Gama,Al. Hermano Patrone,Algés
Algés,776,D,-,04223,Algés (Jardim),Al. Hermano Patrone,Algés
Algés,776,D,-,04217,Palácio Anjos,Al. Hermano Patrone,Algés
Algés,776,D,Autocarro; Comboio,04219,Algés - Pç. D. Manuel I,R. Damião Góis,Algés
Algés,776,D,Autocarro; Comboio,04220,Algés,Interface Algés,Algés
C. Grande Norte,778,A,Metro; Autocarro,05809,Campo Grande (Metro),Interface Campo Grande,Paço Lumiar
C. Grande Norte,778,A,-,05823,Inst. Ricardo Jorge,Av. Padre Cruz,Paço Lumiar
Telheiras,778,A,-,50013,R. Prof. Fernando Fonseca,R. Prof. Fernando Fonseca,Paço Lumiar
Telheiras,778,A,Metro,50005,R. Prof. Francisco Gentil (Metro),R. Prof. Vieira Almeida,Paço Lumiar
Telheiras,778,A,-,50011,Telheiras,R. Prof. Francisco Gentil,Paço Lumiar
Telheiras,778,A,-,50007,R. Prof. João Barreira,R. Prof. João Barreira,Paço Lumiar
Telheiras,778,A,-,50004,R. Prof. Queirós Veloso,R. Prof. Queirós Veloso,Paço Lumiar
Telheiras,778,A,-,50023,Alto Faia Sul,R. Prof. Prado Coelho,Paço Lumiar
Telheiras,778,A,-,50025,R. Prof. Prado Coelho,R. Prof. Prado Coelho,Paço Lumiar
Telheiras,778,A,-,50027,R. Frederico George,R. Frederico George,Paço Lumiar
Telheiras,778,A,-,50030,Alto Faia,R. Abel Salazar,Paço Lumiar
Telheiras,778,A,-,50031,R. Frederico George (Nascente),R. Frederico George,Paço Lumiar
Telheiras,778,A,-,50009,R. Daniel Santa Rita,R. Daniel Sta. Rita,Paço Lumiar
Telheiras,778,A,-,50032,R. Frederico George (Nascente),R. Frederico George,Paço Lumiar
Paço Lumiar,778,A,-,05952,R. Fernando Lopes Graça,R. Fernando Lopes Graça,Paço Lumiar
Paço Lumiar,778,A,-,05942,R. Prof. Fernando Mello Moser,R. Fernando Mello Moser,Paço Lumiar
Paço Lumiar,778,A,-,05944,R. Prof. Orlando Ribeiro,R. Prof. Orlando Ribeiro,Paço Lumiar
Paço Lumiar,778,A,-,05948,Paço Lumiar,R. Teófilo Carvalho Santos,Paço Lumiar
Paço Lumiar,778,A,-,05954,Paço Lumiar,R. Mahatma Gandhi,Paço Lumiar
Paço Lumiar,778,D,-,05954,Paço Lumiar,R. Mahatma Gandhi,Campo Grande-Metro
Paço Lumiar,778,D,-,05953,Hosp. Forças Armadas,Az. Ulmeiros,Campo Grande-Metro
Paço Lumiar,778,D,-,05943,R. Prof. Orlando Ribeiro,R. Prof. Orlando Ribeiro,Campo Grande-Metro
Paço Lumiar,778,D,-,05941,R. Prof. Fernando Mello Moser,R. Fernando Mello Moser,Campo Grande-Metro
Paço Lumiar,778,D,-,05951,R. Fernando Lopes Graça,R. Fernando Lopes Graça,Campo Grande-Metro
Telheiras,778,D,-,50031,R. Frederico George (Nascente),R. Frederico George,Paço Lumiar
Telheiras,778,D,-,50009,R. Daniel Santa Rita,R. Daniel Sta. Rita,Paço Lumiar
Telheiras,778,D,-,50032,R. Frederico George (Nascente),R. Frederico George,Paço Lumiar
Telheiras,778,D,-,50029,Alto Faia,R. Armindo Rodrigues,Campo Grande-Metro
Telheiras,778,D,-,50028,R. Frederico George,R. Alexandre Cabral,Campo Grande-Metro
Telheiras,778,D,-,50026,R. Prof. Prado Coelho,R. Prof. Prado Coelho,Campo Grande-Metro
Telheiras,778,D,-,50024,Alto Faia Sul,R. Prof. Prado Coelho,Campo Grande-Metro
Telheiras,778,D,-,50010,R. Prof. João Barreira,R. Prof. João Barreira,Campo Grande-Metro
Telheiras,778,D,-,50012,Telheiras,R. Prof. Francisco Gentil,Campo Grande-Metro
Telheiras,778,D,Metro,50006,R. Prof. Francisco Gentil (Metro),R. Prof. Francisco Gentil,Campo Grande-Metro
Telheiras,778,D,-,50014,R. Prof. Fernando Fonseca,R. Prof. Fernando Fonseca,Campo Grande-Metro
C. Grande Norte,778,D,Metro; Autocarro,05828,Campo Grande (Metro) - só descida,Interface Campo Grande,Campo Grande-Metro
C. Grande Norte,778,D,Metro; Autocarro,05809,Campo Grande (Metro),Interface Campo Grande,Campo Grande-Metro
Olivais Sul,779,C,-,08421,C. Comercial Olivais,R. Cidade Bolama,Circ. Encarnação
Olivais Sul,779,C,Metro,08413,R. Cidade Bissau (Metro),R. Cidade Bissau,Circ. Encarnação
Olivais Sul,779,C,-,08439,R. Mocimboa Praia,R. Mocimboa de Praia,Circ. Encarnação
Olivais Sul,779,C,-,08440,R. Manhiça,R. Almada Negreiros,Circ. Encarnação
Olivais Sul,779,C,-,02335,R. Vila Fontes,R. Almada Negreiros,Circ. Encarnação
Olivais Sul,779,C,-,02336,R. Almada Negreiros,R. Almada Negreiros,Circ. Encarnação
Olivais Sul,779,C,-,08441,Sport Lisboa Olivais,R. de Chibuto,Circ. Encarnação
Olivais Sul,779,C,-,08442,R. Chibuto,R. de Chibuto,Circ. Encarnação
Olivais Sul,779,C,-,08423,Cemitério Olivais,Av. Cidade Luanda,Circ. Encarnação
Olivais,779,C,-,07717,Esc. Sec. Olivais,Av. Cidade Luanda,Circ. Encarnação
Olivais,779,C,-,07715,Av. Berlim,Av. Cidade Luanda,Circ. Encarnação
Olivais,779,C,-,07809,Qta. Conde Arcos,R. Contra Alm. Armando Ferraz,Circ. Encarnação
Olivais,779,C,-,07801,R. Sarg. Armando Monteiro Ferreira,R. Sarg. Armando Monteiro Ferreira,Circ. Encarnação
Olivais Norte,779,C,-,12309,Olivais Norte,R. Sarg. Armando Monteiro Ferreira,Circ. Encarnação
Olivais Norte,779,C,Metro,12304,B.º Encarnação,R. Tenente Oliveira Carmo,Circ. Encarnação
Olivais,779,C,-,07720,Pç. Casas Novas,R. Lojistas,Circ. Encarnação
Encarnação,779,C,-,12208,R. Lojistas,R. Lojistas,Circ. Encarnação
Encarnação,779,C,-,12206,Igreja Encarnação,Al. Encarnação,Circ. Encarnação
Encarnação,779,C,-,12211,Centro Saúde Encarnação,R. Poço Coberto,Circ. Encarnação
Olivais,779,C,-,07727,R. Mercado,R. Mercado,Circ. Encarnação
Olivais,779,C,-,07704,Av. Berlim (Viveiros),Av. Berlim,Circ. Encarnação
Rot. Aeroporto,779,C,-,07731,Av. Cidade L. Marques N,R. Cidade Beira,Circ. Encarnação
Rot. Aeroporto,779,C,-,07518,R. Cidade Beira,R. Cidade Beira,Circ. Encarnação
Rot. Aeroporto,779,C,-,07519,R. Cidade Quelimane,R. Cidade Beira,Circ. Encarnação
Rot. Aeroporto,779,C,-,07520,R. Cidade João Belo,R. Cidade Beira,Circ. Encarnação
Rot. Aeroporto,779,C,-,07521,R. Cidade Nampula,R. Cidade Nampula,Circ. Encarnação
Rot. Aeroporto,779,C,-,08404,Olivais Sul,Av. Cidade Lourenço Marques,Circ. Encarnação
Olivais Sul,779,C,-,08433,Olivais (Centro Cívico),R. Cidade Bolama,Circ. Encarnação
Olivais Sul,779,C,-,08421,C. Comercial Olivais,R. Cidade Bolama,Circ. Encarnação
Cais do Sodré,781,A,Metro; Comboio; Barco,03810,Cais Sodré,Cais Sodré,Prior Velho
Cais do Sodré,781,A,-,03824,Corpo Santo,R. Arsenal,Prior Velho
Cais do Sodré,781,A,-,05501,Pç. Comércio,Pç. Comércio,Prior Velho
T. Paço,781,A,Metro; Barco,04505,Sul e Sueste,R. Arameiros,Prior Velho
Sta. Apolónia,781,A,Metro; Comboio,02113,Estação Sta. Apolónia,Av. Infante D. Henrique,Prior Velho
Xabregas,781,A,-,08309,Xabregas - R. Manutenção,Av. Infante D. Henrique,Prior Velho
Poço do Bispo,781,A,-,12513,Beato,Av. Infante D. Henrique,Prior Velho
Poço do Bispo,781,A,-,12511,Poço Bispo,Pç. David Leandro Silva,Prior Velho
Matinha,781,A,-,02216,R. Fernando Palha,R. Fernando Palha,Prior Velho
Matinha,781,A,-,02204,Matinha,R. 3 Matinha,Prior Velho
Parque Nações Sul,781,A,-,02316,Gás Portugal,Av. Marechal Gomes Costa,Prior Velho
Rot. Cabo Ruivo,781,A,-,02304,Rot. Cabo Ruivo,Av. Marechal Gomes Costa,Prior Velho
Olivais Sul,781,A,-,02302,Av. Mar. Gomes Costa (Universidade),Av. Marechal Gomes Costa,Prior Velho
Olivais Sul,781,A,Metro,08414,R. Cidade Bissau (Metro),R. Cidade Bissau,Prior Velho
Olivais Sul,781,A,-,08423,Cemitério Olivais,Av. Cidade Luanda,Prior Velho
Olivais,781,A,-,07717,Esc. Sec. Olivais,Av. Cidade Luanda,Prior Velho
Olivais,781,A,-,07715,Av. Berlim,Av. Cidade Luanda,Prior Velho
Olivais,781,A,-,07713,Piscina Olivais,R. Contra Alm. Armando Ferraz,Prior Velho
Olivais,781,A,-,07801,R. Sarg. Armando Monteiro Ferreira,R. Sarg. Armando Monteiro Ferreira,Prior Velho
Olivais Norte,781,A,-,12309,Olivais Norte,R. Sarg. Armando Monteiro Ferreira,Prior Velho
Olivais Norte,781,A,Metro,12307,R. Capitão-Ten. Oliveira Carmo,R. Barrilaro Ruas,Prior Velho
Olivais Norte,781,A,-,12305,R. Alf. Barrilaro Ruas,R. Barrilaro Ruas,Prior Velho
Encarnação,781,A,-,12603,Qta. Morgado,R. Vice Almirante Augusto Castro Guedes,Prior Velho
Portela,781,A,-,12601,RALIS,Av. Dr. Alfredo Bensaúde,Prior Velho
Prior Velho,781,A,-,16303,Rot. Encarnação,R. Severiano Falcão,Prior Velho
Prior Velho,781,A,-,16305,Qta. Francelha Cima,R. Severiano Falcão,Prior Velho
Prior Velho,781,A,-,16307,Qta. Francelha Baixo,R. Severiano Falcão,Prior Velho
Prior Velho,781,A,-,16309,Prior Velho,R. Moçambique,Prior Velho
Prior Velho,781,D,-,16309,Prior Velho,R. Moçambique,Cais Sodré
Prior Velho,781,D,-,16308,Qta. Francelha Baixo,R. Severiano Falcão,Cais Sodré
Prior Velho,781,D,-,16306,Qta. Francelha Cima,R. Severiano Falcão,Cais Sodré
Prior Velho,781,D,-,16304,Rot. Encarnação,R. Severiano Falcão,Cais Sodré
Portela,781,D,-,12602,RALIS,Av. Dr. Alfredo Bensaúde,Cais Sodré
Encarnação,781,D,-,12604,Qta. Morgado,R. Vice Almirante Augusto Castro Guedes,Cais Sodré
Olivais Norte,781,D,-,12306,R. Alf. Barrilaro Ruas,R. Barrilaro Ruas,Cais Sodré
Olivais Norte,781,D,Metro,12308,R. Capitão-Ten. Oliveira Carmo,R. Barrilaro Ruas,Cais Sodré
Olivais Norte,781,D,-,12310,Olivais Norte,R. Sarg. Armando Monteiro Ferreira,Cais Sodré
Olivais,781,D,-,07802,R. Sarg. Armando Monteiro Ferreira,R. Sarg. Armando Monteiro Ferreira,Cais Sodré
Olivais,781,D,-,07714,Piscina Olivais,R. Contra Alm. Armando Ferraz,Cais Sodré
Olivais,781,D,-,07716,Av. Berlim,Av. Cidade Luanda,Cais Sodré
Olivais,781,D,-,07718,Esc. Sec. Olivais,Av. Cidade Luanda,Cais Sodré
Olivais Sul,781,D,-,08424,Cemitério Olivais,Av. Cidade Luanda,Cais Sodré
Olivais Sul,781,D,Metro,08413,R. Cidade Bissau (Metro),R. Cidade Bissau,Cais Sodré
Olivais Sul,781,D,-,02301,Av. Mar. Gomes Costa (Universidade),Av. Marechal Gomes Costa,Cais Sodré
Rot. Cabo Ruivo,781,D,-,02314,Rot. Cabo Ruivo,Av. Infante D. Henrique,Cais Sodré
Parque Nações Sul,781,D,-,02307,Gás Portugal,Av. Marechal Gomes Costa,Cais Sodré
Matinha,781,D,-,02203,Matinha,Av. Cintura Porto Lisboa,Cais Sodré
Matinha,781,D,-,02215,R. Fernando Palha,R. Fernando Palha,Cais Sodré
Poço do Bispo,781,D,-,12512,Poço Bispo,Pç. David Leandro Silva,Cais Sodré
Poço do Bispo,781,D,-,12514,Beato,Av. Infante D. Henrique,Cais Sodré
Xabregas,781,D,-,08310,Xabregas - R. Manutenção,Av. Infante D. Henrique,Cais Sodré
Sta. Apolónia,781,D,Metro; Comboio,02114,Estação Sta. Apolónia,Av. Infante D. Henrique,Cais Sodré
T. Paço,781,D,Metro; Barco,04502,Sul e Sueste,R. Arameiros,Cais Sodré
T. Paço,781,D,Barco,05504,Pç. Comércio,R. Arsenal,Cais Sodré
Cais do Sodré,781,D,-,03820,Corpo Santo,R. Arsenal,Cais Sodré
Cais do Sodré,781,D,Metro; Comboio; Barco,03810,Cais Sodré,Cais Sodré,Cais Sodré
Cais do Sodré,782,A,Metro; Comboio; Barco,03811,Cais Sodré,Cais Sodré,Moscavide
